1;Design 1;This design has completed successfully.;0.7809563389083448;-0.38679724400514587;-0.27784898048554324;1.0;0.13 m;0.1 m;0.3 m
2;Design 2;This design has completed successfully.;0.7917959661760949;-0.37011923961164833;-0.26760167315608263;1.0;0.13 m;0.1 m;0.5333333333333333 m
3;Design 3;This design has completed successfully.;0.8129404890393404;-0.405300437505805;-0.18807833563291043;1.0;0.13 m;0.1 m;0.7666666666666666 m
4;Design 4;This design has failed.;;;;;0.13 m;0.1 m;1.0 m
5;Design 5;This design has completed successfully.;0.7988821700412408;-0.4247728623504874;-0.18987492128334424;1.0;0.13 m;0.15 m;0.3 m
6;Design 6;This design has completed successfully.;0.7999445843891488;-0.4182209273523214;-0.18678987741138267;1.0;0.13 m;0.15 m;0.5333333333333333 m
7;Design 7;This design has failed.;;;;;0.13 m;0.15 m;0.7666666666666666 m
8;Design 8;This design has failed.;;;;;0.13 m;0.15 m;1.0 m
9;Design 9;This design has failed.;;;;;0.13 m;0.2 m;0.3 m
10;Design 10;This design has completed successfully.;0.8273242777549126;-0.44415145461271377;-0.0897791730056726;1.0;0.13 m;0.2 m;0.5333333333333333 m
11;Design 11;This design has completed successfully.;0.8335771491009618;-0.45142068343935304;-0.05948048636064243;1.0;0.13 m;0.2 m;0.7666666666666666 m
12;Design 12;This design has failed.;;;;;0.13 m;0.2 m;1.0 m
13;Design 13;This design has completed successfully.;0.291778749579439;-0.461527186781515;-0.09343667750104277;1.0;0.13 m;0.25 m;0.3 m
14;Design 14;This design has completed successfully.;0.8692827363486136;-0.458964228327145;0.02427992226580758;1.0;0.13 m;0.25 m;0.5333333333333333 m
15;Design 15;This design has failed.;;;;;0.13 m;0.25 m;0.7666666666666666 m
16;Design 16;This design has failed.;;;;;0.13 m;0.25 m;1.0 m
17;Design 17;This design has completed successfully.;0.8220175467586935;-0.3647917344981211;-0.2804692316120533;1.0;0.18333333333333332 m;0.1 m;0.3 m
