Design,Name,State,Drag Coefficient,Lift Coefficient,Moment Coefficient 1,Performance,back_length,front_length,roof_length,2D Geometry,2D Mesh,2D Pressure,2D TKE,2D Vel Mag,Separation Prob.,Separation Prob. color
1,Design 1,This design has completed successfully.,0.7809563389083448,-0.38679724400514587,-0.27784898048554324,1.0,0.13,0.1,0.3,Design_Study/Design_1/Geometry.png,Design_Study/Design_1/Mesh.png,Design_Study/Design_1/Pres_Body_Sym.png,Design_Study/Design_1/TKE_Body_Sym.png,Design_Study/Design_1/Vel_Mag_Body_Sym.png,50.0,#80ff77
2,Design 2,This design has completed successfully.,0.7917959661760949,-0.3701192396116483,-0.26760167315608263,1.0,0.13,0.1,0.5333333333333333,Design_Study/Design_2/Geometry.png,Design_Study/Design_2/Mesh.png,Design_Study/Design_2/Pres_Body_Sym.png,Design_Study/Design_2/TKE_Body_Sym.png,Design_Study/Design_2/Vel_Mag_Body_Sym.png,57.0,#baff3d
3,Design 3,This design has completed successfully.,0.8129404890393404,-0.40530043750580497,-0.18807833563291046,1.0,0.13,0.1,0.7666666666666666,Design_Study/Design_3/Geometry.png,Design_Study/Design_3/Mesh.png,Design_Study/Design_3/Pres_Body_Sym.png,Design_Study/Design_3/TKE_Body_Sym.png,Design_Study/Design_3/Vel_Mag_Body_Sym.png,19.0,#0044ff
5,Design 5,This design has completed successfully.,0.7988821700412408,-0.4247728623504874,-0.18987492128334424,1.0,0.13,0.15,0.3,Design_Study/Design_5/Geometry.png,Design_Study/Design_5/Mesh.png,Design_Study/Design_5/Pres_Body_Sym.png,Design_Study/Design_5/TKE_Body_Sym.png,Design_Study/Design_5/Vel_Mag_Body_Sym.png,97.0,#970000
6,Design 6,This design has completed successfully.,0.7999445843891488,-0.4182209273523214,-0.18678987741138267,1.0,0.13,0.15,0.5333333333333333,Design_Study/Design_6/Geometry.png,Design_Study/Design_6/Mesh.png,Design_Study/Design_6/Pres_Body_Sym.png,Design_Study/Design_6/TKE_Body_Sym.png,Design_Study/Design_6/Vel_Mag_Body_Sym.png,88.0,#ff1400
10,Design 10,This design has completed successfully.,0.8273242777549126,-0.44415145461271377,-0.0897791730056726,1.0,0.13,0.2,0.5333333333333333,Design_Study/Design_10/Geometry.png,Design_Study/Design_10/Mesh.png,Design_Study/Design_10/Pres_Body_Sym.png,Design_Study/Design_10/TKE_Body_Sym.png,Design_Study/Design_10/Vel_Mag_Body_Sym.png,6.0,#0000c6
11,Design 11,This design has completed successfully.,0.8335771491009618,-0.451420683439353,-0.059480486360642425,1.0,0.13,0.2,0.7666666666666666,Design_Study/Design_11/Geometry.png,Design_Study/Design_11/Mesh.png,Design_Study/Design_11/Pres_Body_Sym.png,Design_Study/Design_11/TKE_Body_Sym.png,Design_Study/Design_11/Vel_Mag_Body_Sym.png,5.0,#0000ba
14,Design 14,This design has completed successfully.,0.8692827363486136,-0.45896422832714506,0.02427992226580758,1.0,0.13,0.25,0.5333333333333333,Design_Study/Design_14/Geometry.png,Design_Study/Design_14/Mesh.png,Design_Study/Design_14/Pres_Body_Sym.png,Design_Study/Design_14/TKE_Body_Sym.png,Design_Study/Design_14/Vel_Mag_Body_Sym.png,18.0,#003aff
17,Design 17,This design has completed successfully.,0.8220175467586935,-0.3647917344981211,-0.2804692316120533,1.0,0.18333333333333332,0.1,0.3,Design_Study/Design_17/Geometry.png,Design_Study/Design_17/Mesh.png,Design_Study/Design_17/Pres_Body_Sym.png,Design_Study/Design_17/TKE_Body_Sym.png,Design_Study/Design_17/Vel_Mag_Body_Sym.png,78.0,#ff7300
18,Design 18,This design has completed successfully.,0.7860378719082117,-0.3412366446740581,-0.2782540859593847,1.0,0.18333333333333332,0.1,0.5333333333333333,Design_Study/Design_18/Geometry.png,Design_Study/Design_18/Mesh.png,Design_Study/Design_18/Pres_Body_Sym.png,Design_Study/Design_18/TKE_Body_Sym.png,Design_Study/Design_18/Vel_Mag_Body_Sym.png,85.0,#ff3100
19,Design 19,This design has completed successfully.,0.8088004398712244,-0.3739961054320137,-0.19923230464355304,1.0,0.18333333333333332,0.1,0.7666666666666666,Design_Study/Design_19/Geometry.png,Design_Study/Design_19/Mesh.png,Design_Study/Design_19/Pres_Body_Sym.png,Design_Study/Design_19/TKE_Body_Sym.png,Design_Study/Design_19/Vel_Mag_Body_Sym.png,65.0,#fcef00
21,Design 21,This design has completed successfully.,0.8087301414190995,-0.3924701338262782,-0.19835880040504367,1.0,0.18333333333333332,0.15,0.3,Design_Study/Design_21/Geometry.png,Design_Study/Design_21/Mesh.png,Design_Study/Design_21/Pres_Body_Sym.png,Design_Study/Design_21/TKE_Body_Sym.png,Design_Study/Design_21/Vel_Mag_Body_Sym.png,69.0,#ffc900
22,Design 22,This design has completed successfully.,0.7991089892886827,-0.37795334638397937,-0.19875493203595254,1.0,0.18333333333333332,0.15,0.5333333333333333,Design_Study/Design_22/Geometry.png,Design_Study/Design_22/Mesh.png,Design_Study/Design_22/Pres_Body_Sym.png,Design_Study/Design_22/TKE_Body_Sym.png,Design_Study/Design_22/Vel_Mag_Body_Sym.png,25.0,#0082ff
23,Design 23,This design has completed successfully.,0.8201779689634549,-0.39959017360855337,-0.14345106807565908,1.0,0.18333333333333332,0.15,0.7666666666666666,Design_Study/Design_23/Geometry.png,Design_Study/Design_23/Mesh.png,Design_Study/Design_23/Pres_Body_Sym.png,Design_Study/Design_23/TKE_Body_Sym.png,Design_Study/Design_23/Vel_Mag_Body_Sym.png,62.0,#e3ff14
25,Design 25,This design has completed successfully.,0.8298958706261299,-0.4186080391376569,-0.09750383059289176,1.0,0.18333333333333332,0.2,0.3,Design_Study/Design_25/Geometry.png,Design_Study/Design_25/Mesh.png,Design_Study/Design_25/Pres_Body_Sym.png,Design_Study/Design_25/TKE_Body_Sym.png,Design_Study/Design_25/Vel_Mag_Body_Sym.png,8.0,#0000dd
